States,Rainfall,Ground Water,Temperature,Soil type,Season,Crop
Andhra Pradesh,110.75,9.74,31.5,Alluvial,Kharif,Paddy IGKVR-2 (IET 19795)
Andhra Pradesh,110.75,9.74,31.5,Clayey,Kharif,Paddy IGKVR-2 (IET 19795)
Andhra Pradesh,110.75,9.74,33,Alluvial,Kharif,Paddy CR Dhan 501 (IET 19189)
Andhra Pradesh,110.75,9.74,33,Clayey,Kharif,Paddy CR Dhan 501 (IET 19189)
Andhra Pradesh,110.75,9.74,20.5,Clayey,Rabi,Wheat VL Gehun 907 (VL 907)
Andhra Pradesh,110.75,9.74,22,Clayey,Rabi,Wheat WHD 943
Andhra Pradesh,110.75,9.74,27.5,Alluvial,Kharif,Millet Nandi-65 (MH-1549)
Andhra Pradesh,110.75,9.74,27.5,Sandy,Kharif,Millet Nandi-65 (MH-1549)
Andhra Pradesh,110.75,9.74,20,Clayey,Rabi,Lentil Pant Lentil-8(Pant L-063)
Andhra Pradesh,110.75,9.74,20,Sandy,Rabi,Lentil Pant Lentil-8(Pant L-063)
Andhra Pradesh,110.75,9.74,30,Black,Kharif,Bajra
Andhra Pradesh,110.75,9.74,30,Sandy,Kharif,Bajra
Andhra Pradesh,110.75,9.74,22.5,Black,Kharif,Cardamom
Andhra Pradesh,110.75,9.74,22.5,Clayey,Kharif,Cardamom
Andhra Pradesh,110.75,9.74,22.5,Latterite,Kharif,Cardamom
Andhra Pradesh,110.75,9.74,30,Black,Kharif,Urad
Andhra Pradesh,110.75,9.74,30,Sandy,Kharif,Urad
Andhra Pradesh,110.75,9.74,29.5,Clayey,Kharif,Jowar
Andhra Pradesh,110.75,9.74,29.5,Sandy,Kharif,Jowar
Arunachal Pradesh,325,5,31.5,Alluvial,Kharif,Paddy IGKVR-2 (IET 19795)
Arunachal Pradesh,325,5,31.5,Clayey,Kharif,Paddy IGKVR-2 (IET 19795)
Arunachal Pradesh,325,5,31.5,Alluvial,Kharif,Paddy CR Dhan 401 (REETA)
Arunachal Pradesh,325,5,31.5,Clayey,Kharif,Paddy CR Dhan 401 (REETA)
Arunachal Pradesh,325,5,20.5,Clayey,Rabi,Wheat VL Gehun 907 (VL 907)
Arunachal Pradesh,325,5,29,Alluvial,Kharif,Millet MH 1540 (86M64) (Hybrid)
Arunachal Pradesh,325,5,29,Sandy,Kharif,Millet MH 1540 (86M64) (Hybrid)
Arunachal Pradesh,325,5,28,Clayey,Kharif,Sugarcane Karan 5 (Co 0124)
Arunachal Pradesh,325,5,28,Sandy,Kharif,Sugarcane Karan 5 (Co 0124)
Arunachal Pradesh,325,5,30,Black,Kharif,Clove
Arunachal Pradesh,325,5,30,Clayey,Kharif,Clove
Arunachal Pradesh,325,5,30,Latterite,Kharif,Clove
Arunachal Pradesh,325,5,28.5,Alluvial,Rabi,Banana
Arunachal Pradesh,325,5,28.5,Black,Rabi,Banana
Arunachal Pradesh,325,5,28.5,Alluvial,Rabi,Banana
Arunachal Pradesh,325,5,30,Clayey,Zaid,Moong
Arunachal Pradesh,325,5,30,Sandy,Zaid,Moong
Arunachal Pradesh,325,5,30,Black,Kharif,Urad
Arunachal Pradesh,325,5,30,Sandy,Kharif,Urad
Arunachal Pradesh,325,5,32.5,Sandy,Kharif,Arhar
Assam,156.2,1.62,22.5,Alluvial,All Season,Oilseed
Assam,156.2,1.62,22.5,Black,All Season,Oilseed
Assam,156.2,1.62,22.5,Alluvial,All Season,Oilseed
Assam,156.2,1.62,25,Alluvial,Kharif,Tea
Assam,156.2,1.62,25,Latterite,Kharif,Tea
Assam,156.2,1.62,21.5,Sandy,Kharif,Coffee
Assam,156.2,1.62,25,Clayey,Kharif,Turmeric
Assam,156.2,1.62,25,Sandy,Kharif,Turmeric
Assam,156.2,1.62,25,Latterite,Rabi,Cashewnut
Assam,156.2,1.62,25,Red,Rabi,Cashewnut
Assam,156.2,1.62,25,Sandy,Rabi,Cashewnut
Assam,156.2,1.62,27.5,Red,Kharif,Ragi
Assam,156.2,1.62,27.5,Sandy,Kharif,Ragi
Assam,156.2,1.62,23.5,Sandy,Kharif,Soyabean
Assam,156.2,1.62,30,Black,Rabi,Black Gram
Assam,156.2,1.62,30,Sandy,Rabi,Black Gram
Assam,156.2,1.62,30,Sandy,Rabi,Black Gram
Assam,156.2,1.62,20,Sandy,Rabi,Khesari
Assam,156.2,1.62,19,Clayey,Rabi,Wheat MACS 6222
Bihar,125.6,7.5,30,Black,Kharif,Clove
Bihar,125.6,7.5,30,Clayey,Kharif,Clove
Bihar,125.6,7.5,30,Latterite,Kharif,Clove
Bihar,125.6,7.5,27.5,Clayey,Rabi,Black Pepper
Bihar,125.6,7.5,27.5,Latterite,Rabi,Black Pepper
Bihar,125.6,7.5,27.5,Red,Rabi,Black Pepper
Bihar,125.6,7.5,27.5,Sandy,Rabi,Black Pepper
